model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6216,FALSE,TRUE,87,33676,57,665,0.77431,588061,17,0,0,32957,0,0,18,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6164,TRUE,TRUE,87,33676,56,645,0.884745,1283041,18,0,0,32978,0,0,18,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,4556,FALSE,TRUE,87,33676,30,222,1.05126,19200,23,0,0,33504,0,3,18,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3512,FALSE,TRUE,87,33676,1,1,0.773129,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,4580,FALSE,TRUE,87,33676,39,245,0.982811,92160,22,0,0,33456,0,3,18,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.00296,7116,FALSE,FALSE,87,33676,53,614,0.880674,933121,21,0,0,33006,0,0,18,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.004171,7080,FALSE,FALSE,87,33676,54,606,0.888441,414721,20,0,0,33013,0,0,18,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6296,FALSE,TRUE,87,33676,55,717,0.890308,3456000,22,0,0,32908,0,1,18,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,4556,FALSE,TRUE,87,33676,30,222,0.993697,19200,24,0,0,33494,0,3,18,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.004029,6448,FALSE,FALSE,87,33676,34,226,0.98832,45000,23,0,0,33482,0,3,18,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,5612,TRUE,TRUE,87,33676,51,547,0.993231,1036800,22,0,0,33073,0,2,18,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,4556,FALSE,TRUE,87,33676,30,222,0.983397,19200,24,0,0,33494,0,3,18,3,1,0,0,0,0,0,0,0,0
