model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule O,rule P,rule Q,rule R,rule S,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0020,10,FALSE,NONE,0.000171,0.000299,5.4e-05,0.0,4728,TRUE,1,20,15,16,12,24,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0020,11,TRUE,NONE,7.6e-05,9.6e-05,6.8e-05,0.0,4400,TRUE,1,20,15,5,3,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0020,12,FALSE,NONE,0.000164,0.000274,4.4e-05,0.0,4724,TRUE,1,20,15,16,15,24,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0020,13,TRUE,NONE,0.000235,0.000305,0.000261,0.002254,6564,FALSE,25,20,15,16,15,24,27,14,13,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,3
AirplaneLD-COL-0020,14,FALSE,NONE,0.000159,0.000278,4.8e-05,0.0,4724,TRUE,1,20,15,16,14,24,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0020,15,TRUE,NONE,0.000251,0.000431,6.9e-05,0.0,4724,TRUE,1,20,15,18,15,26,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0020,16,FALSE,NONE,0.000145,0.000115,9.6e-05,0.002198,6712,FALSE,6,20,15,7,6,9,8,5,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2
AirplaneLD-COL-0050,1,TRUE,NONE,0.000209,0.000169,0.000125,0.003209,6696,FALSE,6,20,15,7,6,9,8,5,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2
AirplaneLD-COL-0050,2,TRUE,NONE,0.000132,0.000141,4.2e-05,0.0,4764,TRUE,1,20,15,8,6,10,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0050,3,FALSE,NONE,0.000241,0.000296,5.7e-05,0.0,4776,TRUE,1,20,15,16,15,24,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0050,4,FALSE,NONE,0.000139,0.0002,4.8e-05,0.0,4764,TRUE,1,20,15,10,7,14,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0050,5,TRUE,NONE,0.000192,0.000223,4.6e-05,0.0,4452,TRUE,1,20,15,12,9,16,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0050,6,FALSE,NONE,0.000174,0.000194,4.6e-05,0.0,4456,TRUE,1,20,15,15,11,23,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0050,7,FALSE,NONE,0.000272,0.000287,6.7e-05,0.0,4780,TRUE,1,20,15,15,11,23,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
