model name,query index,answer,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count, unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 1,rule 2
AirplaneLD-COL-0010,1,TRUE,0.0,0.005912,0.000152,0.0,3748,TRUE,1129,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,10,TRUE,0.0,0.000278,0.000131,0.0,4148,TRUE,125,20,15,20,15,28,27,17,17,0,3,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,11,TRUE,0.0,0.000339,0.0001,0.0,3508,TRUE,2,20,15,20,15,28,27,2,1,0,0,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0010,12,TRUE,0.0,0.000345,0.000158,0.0,4160,TRUE,937,20,15,20,15,28,27,24,25,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,13,TRUE,0.0,0.000305,0.000153,0.002599,5932,FALSE,77,20,15,20,15,28,27,16,15,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,14,FALSE,0.0,0.000342,0.000159,0.002481,5868,FALSE,57,20,15,20,15,28,27,14,14,1,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,15,TRUE,0.0,0.000372,0.000174,0.0,4176,TRUE,489,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0010,16,TRUE,0.0,0.000343,0.00017,0.0,4192,TRUE,937,20,15,20,15,28,27,23,25,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,2,FALSE,0.0,0.000303,0.00025,0.0,4080,TRUE,185,20,15,20,15,28,27,19,18,0,6,0,3,0,0,0,0,1,0,0
AirplaneLD-COL-0010,3,FALSE,0.0,0.000342,0.000104,0.0,3508,TRUE,2,20,15,20,15,28,27,1,1,0,0,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0010,4,FALSE,0.0,0.000275,0.000161,0.0,4164,TRUE,293,20,15,20,15,28,27,20,20,0,2,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0010,5,TRUE,0.0,0.000376,0.000192,0.0,4156,TRUE,281,20,15,20,15,28,27,18,20,0,2,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,6,FALSE,0.0,0.000308,0.000202,0.0,4184,TRUE,409,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0010,7,TRUE,0.0,0.000345,0.000124,0.002584,5932,FALSE,1129,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,8,FALSE,0.0,0.000276,0.000109,0.0,4188,TRUE,1129,20,15,20,15,28,27,26,26,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,9,TRUE,0.0,0.000349,0.000241,0.0,4128,TRUE,242,20,15,20,15,28,27,17,17,0,1,0,3,0,0,0,0,1,0,0
AirplaneLD-COL-0020,1,FALSE,0.0,0.006382,0.00016,0.002714,6164,FALSE,681,20,15,20,15,28,27,22,24,0,2,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0020,10,FALSE,0.0,0.000353,0.000192,0.0,4164,TRUE,217,20,15,20,15,28,27,19,19,0,2,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0020,11,TRUE,0.0,0.000306,8.9e-05,0.0,3512,TRUE,1,20,15,20,15,28,27,2,0,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0020,12,FALSE,0.0,0.000426,0.000202,0.0,4072,TRUE,185,20,15,20,15,28,27,18,18,0,6,0,3,0,0,0,0,1,0,0
AirplaneLD-COL-0020,13,TRUE,0.0,0.000348,0.000203,0.002986,6192,FALSE,809,20,15,20,15,28,27,23,25,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0020,14,FALSE,0.0,0.000353,0.000218,0.0,4180,TRUE,297,20,15,20,15,28,27,21,21,0,2,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0020,15,TRUE,0.0,0.000385,0.000198,0.0,4196,TRUE,809,20,15,20,15,28,27,25,25,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0020,16,FALSE,0.0,0.00034,0.000155,0.002574,5872,FALSE,14,20,15,20,15,28,27,7,6,1,0,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0020,2,FALSE,0.0,0.000298,0.000187,0.0,4076,TRUE,185,20,15,20,15,28,27,18,18,0,6,0,3,0,0,0,0,1,0,0
AirplaneLD-COL-0020,3,TRUE,0.0,0.000307,0.000165,0.0,4156,TRUE,149,20,15,20,15,28,27,17,17,0,3,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0020,4,FALSE,0.0,0.000334,0.000176,0.002297,5872,FALSE,77,20,15,20,15,28,27,16,15,0,4,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0020,5,TRUE,0.0,0.000299,6.6e-05,0.0,3444,TRUE,1,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0020,6,TRUE,0.0,0.000311,0.00014,0.002451,5812,FALSE,29,20,15,20,15,28,27,12,11,0,3,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0020,7,FALSE,0.0,0.000344,0.000123,0.0,4204,TRUE,1129,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0020,8,FALSE,0.0,0.00031,6.3e-05,0.0,3440,TRUE,1,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0020,9,TRUE,0.0,0.00031,0.000113,0.0,4168,TRUE,281,20,15,20,15,28,27,20,20,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0050,1,TRUE,0.0,0.006774,0.000119,0.00261,5812,FALSE,14,20,15,20,15,28,27,7,6,1,0,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0050,10,FALSE,0.0,0.000278,7.2e-05,0.0,4004,TRUE,4,20,15,20,15,28,27,4,4,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0050,11,FALSE,0.0,0.000343,0.000162,0.002792,5872,FALSE,121,20,15,20,15,28,27,17,17,0,3,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0050,12,FALSE,0.0,0.000351,8.7e-05,0.0,3516,TRUE,4,20,15,20,15,28,27,4,4,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0050,13,TRUE,0.0,0.000326,0.000177,0.0,4124,TRUE,132,20,15,20,15,28,27,14,13,0,1,0,5,0,0,0,0,1,0,0
AirplaneLD-COL-0050,14,FALSE,0.0,0.000343,0.000174,0.002499,5872,FALSE,217,20,15,20,15,28,27,19,19,0,5,0,3,0,0,0,0,1,0,0
AirplaneLD-COL-0050,15,TRUE,0.0,0.000311,0.000142,0.002541,5932,FALSE,1129,20,15,20,15,28,27,25,26,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0050,16,TRUE,0.0,0.000338,0.000111,0.0,3448,TRUE,1,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0050,2,TRUE,0.0,0.000301,0.000107,0.0,4008,TRUE,7,20,15,20,15,28,27,7,5,1,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0050,3,FALSE,0.0,0.000348,0.000169,0.0,4172,TRUE,409,20,15,20,15,28,27,21,22,0,3,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0050,4,FALSE,0.0,0.000324,0.000143,0.0,4012,TRUE,13,20,15,20,15,28,27,10,8,1,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0050,5,TRUE,0.0,0.000314,0.000129,0.0,3620,TRUE,29,20,15,20,15,28,27,11,10,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0050,6,FALSE,0.0,0.000347,0.000204,0.0,3620,TRUE,17,20,15,20,15,28,27,11,9,0,8,0,3,0,0,0,0,1,0,0
AirplaneLD-COL-0050,7,FALSE,0.0,0.000383,0.000208,0.0,4112,TRUE,29,20,15,20,15,28,27,13,11,0,6,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0050,8,FALSE,0.0,0.00035,8.1e-05,0.0,4020,TRUE,7,20,15,20,15,28,27,6,5,1,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0050,9,TRUE,0.0,0.000349,0.0001,0.0,4120,TRUE,69,20,15,20,15,28,27,13,14,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0100,1,FALSE,0.0,0.007851,0.000162,0.0,4024,TRUE,9,20,15,20,15,28,27,9,7,0,6,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0100,10,FALSE,0.0,0.00029,9.8e-05,0.0,4064,TRUE,4,20,15,20,15,28,27,5,4,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0100,11,TRUE,0.0,0.000403,0.000191,0.00223,5812,FALSE,29,20,15,20,15,28,27,12,11,0,3,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0100,12,FALSE,0.0,0.000315,0.000157,0.0,4120,TRUE,66,20,15,20,15,28,27,14,12,1,0,0,3,0,0,0,0,1,0,0
AirplaneLD-COL-0100,13,FALSE,0.0,0.000351,0.000106,0.0,4016,TRUE,7,20,15,20,15,28,27,6,5,1,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0100,14,FALSE,0.0,0.000326,0.000188,0.0,3624,TRUE,25,20,15,20,15,28,27,14,11,0,7,0,3,0,0,0,0,1,0,0
AirplaneLD-COL-0100,15,TRUE,0.0,0.000351,0.000144,0.0,4188,TRUE,1129,20,15,20,15,28,27,25,26,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0100,16,TRUE,0.0,0.00035,0.000147,0.0,4188,TRUE,1129,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0100,2,TRUE,0.0,0.000366,8.9e-05,0.0,3508,TRUE,1,20,15,20,15,28,27,2,0,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0100,3,TRUE,0.0,0.000355,0.000118,0.002289,5932,FALSE,14,20,15,20,15,28,27,7,6,1,0,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0100,4,TRUE,0.0,0.000351,0.00016,0.0,4136,TRUE,137,20,15,20,15,28,27,16,17,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0100,5,FALSE,0.0,0.000403,0.000145,0.0,4024,TRUE,13,20,15,20,15,28,27,9,8,1,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0100,6,FALSE,0.0,0.000357,0.000154,0.002607,5932,FALSE,281,20,15,20,15,28,27,20,20,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0100,7,FALSE,0.0,0.000358,0.000114,0.0,3508,TRUE,2,20,15,20,15,28,27,2,1,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0100,8,FALSE,0.0,0.000326,0.0001,0.0,4104,TRUE,28,20,15,20,15,28,27,9,7,0,1,0,4,0,0,0,0,1,0,0
AirplaneLD-COL-0100,9,TRUE,0.0,0.000372,0.000148,0.0,4188,TRUE,809,20,15,20,15,28,27,23,25,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0200,1,FALSE,0.0,0.007809,0.000177,0.0,3664,TRUE,569,20,15,20,15,28,27,23,23,0,2,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0200,10,FALSE,0.0,0.000365,6.4e-05,0.0,3444,TRUE,1,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0200,11,FALSE,0.0,0.000362,0.000188,0.0,4188,TRUE,421,20,15,20,15,28,27,20,22,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0200,12,TRUE,0.0,0.000361,0.000119,0.0,3508,TRUE,2,20,15,20,15,28,27,2,1,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0200,13,TRUE,0.0,0.00036,0.000116,0.0,3504,TRUE,2,20,15,20,15,28,27,1,1,0,0,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0200,14,FALSE,0.0,0.000322,0.000124,0.0,3508,TRUE,2,20,15,20,15,28,27,1,1,0,0,0,2,0,0,0,0,1,0,0
