model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6628,FALSE,TRUE,87,33676,67,802,0.833334,0,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6508,TRUE,TRUE,87,33676,67,762,0.887322,0,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,6300,FALSE,TRUE,87,33676,61,698,0.898841,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3524,FALSE,TRUE,87,33676,1,1,0.781717,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6392,FALSE,TRUE,87,33676,62,727,0.906648,9600000,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.007056,7452,FALSE,FALSE,87,33676,64,731,0.961179,0,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.00568,7488,FALSE,FALSE,87,33676,64,743,0.894252,10400001,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6500,FALSE,TRUE,87,33676,64,761,0.911566,0,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,6296,FALSE,TRUE,87,33676,60,697,0.908579,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.011388,7368,FALSE,FALSE,87,33676,61,698,0.911631,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6516,TRUE,TRUE,87,33676,63,772,0.905785,0,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,6300,FALSE,TRUE,87,33676,60,697,0.902739,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6624,FALSE,TRUE,87,33676,65,800,0.904288,12480000,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.002879,7364,TRUE,FALSE,87,33676,62,699,0.904463,8800001,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,6392,TRUE,TRUE,87,33676,62,727,0.901557,8800001,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,6304,FALSE,TRUE,87,33676,61,698,0.892533,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,6180,TRUE,TRUE,431,735,349,662,0.007027,13221562,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
