model name,query index,answer,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count, unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule ParallelPlaces,rule ParallelTransitions
AirplaneLD-COL-0010,1,TRUE,0.0,0.000465,0.000161,0.0,3748,TRUE,1129,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,10,TRUE,0.0,0.000309,0.000193,0.0,4164,TRUE,125,20,15,20,15,28,27,17,17,0,3,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,11,TRUE,0.0,0.000403,0.000103,0.0,3512,TRUE,2,20,15,20,15,28,27,2,1,0,0,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0010,12,TRUE,0.0,0.000364,0.000196,0.0,4168,TRUE,937,20,15,20,15,28,27,24,25,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,13,TRUE,0.0,0.000466,0.000174,0.002448,5940,FALSE,77,20,15,20,15,28,27,16,15,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,14,FALSE,0.0,0.000457,0.000169,0.002825,5884,FALSE,57,20,15,20,15,28,27,14,14,1,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,15,TRUE,0.0,0.000403,0.000221,0.0,4188,TRUE,489,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0010,16,TRUE,0.0,0.000465,0.000202,0.0,4200,TRUE,937,20,15,20,15,28,27,23,25,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,2,FALSE,0.0,0.000362,0.000206,0.0,4088,TRUE,185,20,15,20,15,28,27,19,18,0,6,0,3,0,0,0,0,1,0,0
AirplaneLD-COL-0010,3,FALSE,0.0,0.000364,9.8e-05,0.0,3516,TRUE,2,20,15,20,15,28,27,1,1,0,0,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0010,4,FALSE,0.0,0.000406,0.000215,0.0,4172,TRUE,293,20,15,20,15,28,27,20,20,0,2,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0010,5,TRUE,0.0,0.000362,0.000192,0.0,4164,TRUE,281,20,15,20,15,28,27,18,20,0,2,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,6,FALSE,0.0,0.000465,0.000237,0.0,4192,TRUE,409,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0010,7,TRUE,0.0,0.000408,0.000163,0.002687,5940,FALSE,1129,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,8,FALSE,0.0,0.000471,0.000204,0.0,4192,TRUE,1129,20,15,20,15,28,27,26,26,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0010,9,TRUE,0.0,0.000459,0.000184,0.0,4136,TRUE,242,20,15,20,15,28,27,17,17,0,1,0,3,0,0,0,0,1,0,0
AirplaneLD-COL-0020,1,FALSE,0.0,0.000552,0.000193,0.003536,5936,FALSE,681,20,15,20,15,28,27,22,24,0,2,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0020,10,FALSE,0.0,0.000312,0.000188,0.0,4172,TRUE,217,20,15,20,15,28,27,19,19,0,2,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0020,11,TRUE,0.0,0.000462,6.2e-05,0.0,3508,TRUE,1,20,15,20,15,28,27,2,0,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0020,12,FALSE,0.0,0.000376,0.000222,0.0,4088,TRUE,185,20,15,20,15,28,27,18,18,0,6,0,3,0,0,0,0,1,0,0
AirplaneLD-COL-0020,13,TRUE,0.0,0.000412,0.000199,0.002132,6204,FALSE,809,20,15,20,15,28,27,23,25,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0020,14,FALSE,0.0,0.000502,0.00022,0.0,4188,TRUE,297,20,15,20,15,28,27,21,21,0,2,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0020,15,TRUE,0.0,0.000312,0.000203,0.0,4204,TRUE,809,20,15,20,15,28,27,25,25,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0020,16,FALSE,0.0,0.000465,0.000141,0.003118,5884,FALSE,14,20,15,20,15,28,27,7,6,1,0,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0020,2,FALSE,0.0,0.000404,0.000192,0.0,4088,TRUE,185,20,15,20,15,28,27,18,18,0,6,0,3,0,0,0,0,1,0,0
AirplaneLD-COL-0020,3,TRUE,0.0,0.000364,0.000172,0.0,4160,TRUE,149,20,15,20,15,28,27,17,17,0,3,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0020,4,FALSE,0.0,0.000367,0.000237,0.002792,5884,FALSE,77,20,15,20,15,28,27,16,15,0,4,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0020,5,TRUE,0.0,0.00047,8.3e-05,0.0,3452,TRUE,1,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0020,6,TRUE,0.0,0.000406,0.000121,0.002718,5824,FALSE,29,20,15,20,15,28,27,12,11,0,3,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0020,7,FALSE,0.0,0.000474,0.000164,0.0,4212,TRUE,1129,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0020,8,FALSE,0.0,0.000364,8.7e-05,0.0,3444,TRUE,1,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0020,9,TRUE,0.0,0.000366,0.000152,0.0,4180,TRUE,281,20,15,20,15,28,27,20,20,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0050,1,TRUE,0.0,0.000415,0.000141,0.003381,5824,FALSE,14,20,15,20,15,28,27,7,6,1,0,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0050,10,FALSE,0.0,0.000465,8.4e-05,0.0,4020,TRUE,4,20,15,20,15,28,27,4,4,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0050,11,FALSE,0.0,0.000366,0.000161,0.002477,5884,FALSE,121,20,15,20,15,28,27,17,17,0,3,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0050,12,FALSE,0.0,0.000315,8e-05,0.0,3532,TRUE,4,20,15,20,15,28,27,4,4,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0050,13,TRUE,0.0,0.000466,0.000172,0.0,4136,TRUE,132,20,15,20,15,28,27,14,13,0,1,0,5,0,0,0,0,1,0,0
AirplaneLD-COL-0050,14,FALSE,0.0,0.000312,0.000221,0.00255,5884,FALSE,217,20,15,20,15,28,27,19,19,0,5,0,3,0,0,0,0,1,0,0
AirplaneLD-COL-0050,15,TRUE,0.0,0.000458,0.000122,0.002887,5936,FALSE,1129,20,15,20,15,28,27,25,26,0,0,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0050,16,TRUE,0.0,0.000365,5.5e-05,0.0,3452,TRUE,1,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0050,2,TRUE,0.0,0.000363,0.000114,0.0,4016,TRUE,7,20,15,20,15,28,27,7,5,1,0,0,0,0,0,0,0,1,0,0
AirplaneLD-COL-0050,3,FALSE,0.0,0.000407,0.000227,0.0,4180,TRUE,409,20,15,20,15,28,27,21,22,0,3,0,2,0,0,0,0,1,0,0
AirplaneLD-COL-0050,4,FALSE,0.0,0.000514,0.000146,0.0,4024,TRUE,13,20,15,20,15,28,27,10,8,1,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0050,5,TRUE,0.0,0.000409,0.000139,0.0,3624,TRUE,29,20,15,20,15,28,27,11,10,0,1,0,1,0,0,0,0,1,0,0
AirplaneLD-COL-0050,6,FALSE,0.0,0.000416,0.000233,0.0,3624,TRUE,17,20,15,20,15,28,27,11,9,0,8,0,3,0,0,0,0,1,0,0
AirplaneLD-COL-0050,7,FALSE,0.0,0.000634,0.00027,0.0,4120,TRUE,29,20,15,20,15,28,27,13,11,0,6,0,2,0,0,0,0,1,0,0
