model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R,rule S
ARMCacheCoherence-PT-none,1,0.0,6116,FALSE,TRUE,87,33676,57,665,4.75947,588061,17,0,0,32923,0,0,9,0,1,0,0,0,0,0,0,0,0,34620
ARMCacheCoherence-PT-none,10,0.0,6060,TRUE,TRUE,87,33676,56,645,4.98333,1283041,18,0,0,32972,0,0,8,0,1,0,0,0,0,0,0,0,0,20055
ARMCacheCoherence-PT-none,11,0.0,4456,FALSE,TRUE,87,33676,30,222,4.93591,19200,23,0,0,33470,0,0,8,0,1,0,0,0,1,0,0,0,0,34824
ARMCacheCoherence-PT-none,12,0.0,3420,FALSE,TRUE,87,33676,1,1,0.503743,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,4476,FALSE,TRUE,87,33676,39,245,5.05151,92160,22,0,0,33422,0,0,8,0,1,0,0,0,1,0,0,0,0,34735
ARMCacheCoherence-PT-none,14,0.0,7004,FALSE,FALSE,87,33676,53,614,4.76953,933121,21,0,0,33000,0,0,8,0,1,0,0,0,0,0,0,0,0,20055
ARMCacheCoherence-PT-none,15,0.0,6968,FALSE,FALSE,87,33676,54,606,5.13427,414721,20,0,0,32979,0,0,9,0,1,0,0,0,0,0,0,0,0,34620
ARMCacheCoherence-PT-none,16,0.0,6192,FALSE,TRUE,87,33676,55,717,4.62269,3456000,22,0,0,32874,0,0,6,0,1,0,0,0,1,0,0,0,0,3944
ARMCacheCoherence-PT-none,2,0.0,4452,FALSE,TRUE,87,33676,30,222,4.88028,19200,24,0,0,33460,0,0,8,0,1,0,0,0,1,0,0,0,0,34818
ARMCacheCoherence-PT-none,3,0.0,6340,FALSE,FALSE,87,33676,34,226,4.96263,45000,23,0,0,33448,0,0,8,0,1,0,0,0,1,0,0,0,0,34778
ARMCacheCoherence-PT-none,4,0.0,5508,TRUE,TRUE,87,33676,51,547,5.02325,1036800,22,0,0,33039,0,0,7,0,1,0,0,0,1,0,0,0,0,19284
ARMCacheCoherence-PT-none,5,0.0,4452,FALSE,TRUE,87,33676,30,222,4.80914,19200,24,0,0,33460,0,0,8,0,1,0,0,0,1,0,0,0,0,34818
ARMCacheCoherence-PT-none,6,0.0,4560,FALSE,TRUE,87,33676,38,265,4.81323,63360,19,0,0,33419,0,0,8,0,1,0,0,0,1,0,0,0,0,34783
ARMCacheCoherence-PT-none,7,0.0,7012,TRUE,FALSE,87,33676,53,620,5.02425,1024001,22,0,0,32965,0,0,9,0,1,0,0,0,0,0,0,0,0,33079
ARMCacheCoherence-PT-none,8,0.0,5944,TRUE,TRUE,87,33676,50,609,5.16233,276481,22,0,0,32972,0,0,8,0,1,0,0,0,0,0,0,0,0,34624
ARMCacheCoherence-PT-none,9,0.0,4452,FALSE,TRUE,87,33676,30,222,4.95848,19200,23,0,0,33470,0,0,8,0,1,0,0,0,1,0,0,0,0,34824
ASLink-PT-01a,1,0.0,5988,TRUE,TRUE,431,735,346,659,0.008902,13070810,61,16,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ASLink-PT-01a,10,0.0,5960,TRUE,TRUE,431,735,333,650,0.006829,10297735,64,18,19,12,0,0,0,0,0,0,0,0,1,0,0,0,0,16
ASLink-PT-01a,11,0.0,7536,FALSE,FALSE,431,735,333,650,0.006819,10297735,64,18,19,12,0,0,0,0,0,0,0,0,1,0,0,0,0,16
ASLink-PT-01a,12,0.0,7540,FALSE,FALSE,431,735,333,650,0.006697,10297735,64,18,19,12,0,0,0,0,0,0,0,0,1,0,0,0,0,16
ASLink-PT-01a,13,0.0,5956,FALSE,TRUE,431,735,333,650,0.006843,10297735,64,18,19,12,0,0,0,0,0,0,0,0,1,0,0,0,0,16
ASLink-PT-01a,14,0.0,5960,FALSE,TRUE,431,735,335,651,0.006829,12082239,63,18,18,12,0,0,0,0,0,0,0,0,1,0,0,0,0,16
ASLink-PT-01a,15,0.0,7540,FALSE,FALSE,431,735,333,650,0.007035,10297735,63,13,19,12,0,0,0,0,0,0,0,0,1,0,0,0,0,18
ASLink-PT-01a,16,0.0,5972,TRUE,TRUE,431,735,338,655,0.006951,10489732,58,17,19,12,0,0,0,0,0,0,0,0,1,0,0,0,0,17
ASLink-PT-01a,2,0.0,7540,FALSE,FALSE,431,735,333,650,0.006477,10297735,64,18,19,12,0,0,0,0,0,0,0,0,1,0,0,0,0,16
ASLink-PT-01a,3,0.0,5960,TRUE,TRUE,431,735,335,652,0.009197,10354747,62,18,19,12,0,0,0,0,0,0,0,0,1,0,0,0,0,16
ASLink-PT-01a,4,0.0,5960,FALSE,TRUE,431,735,335,651,0.006327,10349035,63,18,18,12,0,0,0,0,0,0,0,0,1,0,0,0,0,16
ASLink-PT-01a,5,0.0,6800,TRUE,TRUE,431,735,345,658,0.005848,0,60,18,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10
ASLink-PT-01a,6,0.0,7708,FALSE,FALSE,431,735,333,650,0.006982,10297735,64,18,19,12,0,0,0,0,0,0,0,0,1,0,0,0,0,16
ASLink-PT-01a,7,0.0,6124,TRUE,TRUE,431,735,335,652,0.007088,10386727,61,18,19,12,0,0,0,0,0,0,0,0,1,0,0,0,0,17
ASLink-PT-01a,8,0.0,5956,FALSE,TRUE,431,735,333,650,0.005946,10297735,63,18,19,12,0,0,0,0,0,0,0,0,1,0,0,0,0,17
ASLink-PT-01a,9,0.0,5984,FALSE,TRUE,431,735,342,656,0.006963,13008936,62,18,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10
ASLink-PT-01b,1,0.0,7760,FALSE,FALSE,846,1148,344,658,0.006433,0,454,29,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,29
ASLink-PT-01b,10,0.0,7544,TRUE,FALSE,846,1148,335,652,0.008499,10356117,456,30,21,12,0,0,0,0,0,0,0,0,1,0,0,0,0,34
ASLink-PT-01b,11,0.0,5996,FALSE,TRUE,846,1148,347,660,0.007246,0,451,24,18,12,0,0,0,0,0,0,0,0,1,0,0,0,0,31
