model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3
AirplaneLD-COL-0020,12,FALSE,none,2.7e-05,0.000281,0.00016,0.0,4072,TRUE,185,20,15,19,15,27,27,18,18,0,6,0,3,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0020,13,TRUE,none,2.6e-05,0.000284,0.000123,0.002062,6192,FALSE,809,20,15,19,15,27,27,23,25,0,1,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0020,14,FALSE,none,3.8e-05,0.000349,0.000149,0.0,4104,TRUE,297,20,15,18,14,26,26,21,21,0,2,0,2,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0020,15,TRUE,none,2.2e-05,0.00027,0.000147,0.0,4200,TRUE,809,20,15,19,15,27,27,25,25,0,1,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0020,16,FALSE,none,3.5e-05,0.000132,6.8e-05,0.001774,5992,FALSE,14,20,15,9,6,11,8,7,6,1,0,0,0,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,1,TRUE,none,2.6e-05,0.0001,9.8e-05,0.002639,5872,FALSE,14,20,15,9,6,11,8,7,6,1,0,0,0,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,2,TRUE,none,2.9e-05,0.000116,7.1e-05,0.0,4072,TRUE,7,20,15,9,6,11,8,7,5,1,0,0,0,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,3,FALSE,none,3.6e-05,0.000388,0.000155,0.0,4104,TRUE,409,20,15,19,15,27,27,21,22,0,3,0,2,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,4,FALSE,none,4.2e-05,0.000207,0.000108,0.0,4008,TRUE,13,20,15,11,7,15,13,10,8,1,1,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,5,TRUE,none,1.8e-05,0.000187,0.000132,0.0,3676,TRUE,29,20,15,14,9,18,15,11,10,0,1,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,6,FALSE,none,3.3e-05,0.000324,0.000208,0.0,3612,TRUE,17,20,15,18,11,26,23,11,9,0,8,0,3,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,7,FALSE,none,3.2e-05,0.000322,0.000241,0.0,4048,TRUE,29,20,15,18,11,26,23,13,11,0,6,0,2,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,8,FALSE,none,3.7e-05,0.00014,6.5e-05,0.0,4008,TRUE,7,20,15,7,5,9,7,6,5,1,0,0,0,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,9,TRUE,none,1.9e-05,0.000159,9.7e-05,0.0,4124,TRUE,69,20,15,11,9,15,15,13,14,0,0,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,10,FALSE,none,2.7e-05,6.2e-05,7e-05,0.0,3996,TRUE,4,20,15,4,3,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,11,FALSE,none,3.2e-05,0.000248,0.000126,0.002598,5992,FALSE,121,20,15,18,12,26,24,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,12,FALSE,none,3.2e-05,0.000145,7.6e-05,0.0,3576,TRUE,4,20,15,4,3,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,13,TRUE,none,5.9e-05,0.000272,0.000151,0.0,4128,TRUE,132,20,15,14,10,18,16,14,13,0,1,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,14,FALSE,none,3.2e-05,0.000359,0.000135,0.002667,5992,FALSE,217,20,15,19,15,27,27,19,19,0,5,0,3,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,15,TRUE,none,1.8e-05,0.000399,0.000172,0.003074,5932,FALSE,1129,20,15,19,15,27,27,25,26,0,0,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0050,16,TRUE,none,2.5e-05,6.1e-05,6.4e-05,0.0,3560,TRUE,1,20,15,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0100,1,FALSE,none,3.4e-05,0.000228,0.000122,0.0,4020,TRUE,9,20,15,15,9,21,18,9,7,0,6,0,2,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0100,2,TRUE,none,1.9e-05,7e-05,4.7e-05,0.0,3568,TRUE,1,20,15,5,3,5,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
