model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4
AirplaneLD-COL-0020,11,TRUE,NONE,9.5e-05,0.001325,0.002006,0.0,5164,TRUE,1,20,15,20,15,28,27,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0020,12,FALSE,NONE,9.3e-05,0.001273,0.002231,0.0,5672,TRUE,185,20,15,20,15,28,27,18,18,0,6,0,3,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0020,13,TRUE,NONE,9.4e-05,0.001286,0.002226,0.00254,7748,FALSE,809,20,15,20,15,28,27,23,25,0,1,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0020,14,FALSE,NONE,9e-05,0.001279,0.001887,0.0,5764,TRUE,297,20,15,20,15,28,27,21,21,0,2,0,2,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0020,15,TRUE,NONE,9.1e-05,0.00128,0.002196,0.0,5796,TRUE,809,20,15,20,15,28,27,25,25,0,1,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0020,16,FALSE,NONE,9.2e-05,0.001362,0.001754,0.002839,7484,FALSE,14,20,15,20,15,28,27,7,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0050,1,TRUE,NONE,0.000112,0.029951,0.005285,0.003489,7684,FALSE,14,20,15,20,15,28,27,7,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0050,2,TRUE,NONE,0.0001,0.001332,0.002063,0.0,5608,TRUE,7,20,15,20,15,28,27,7,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0050,3,FALSE,NONE,9.8e-05,0.001088,0.002638,0.0,5700,TRUE,409,20,15,20,15,28,27,21,22,0,3,0,2,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0050,4,FALSE,NONE,0.0001,0.001082,0.001853,0.0,5604,TRUE,13,20,15,20,15,28,27,10,8,1,1,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0050,5,TRUE,NONE,9.9e-05,0.001343,0.00239,0.0,5204,TRUE,29,20,15,20,15,28,27,11,10,0,1,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0050,6,FALSE,NONE,9.9e-05,0.001309,0.003332,0.0,5200,TRUE,17,20,15,20,15,28,27,11,9,0,8,0,3,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0050,7,FALSE,NONE,0.00012,0.001102,0.00288,0.0,5644,TRUE,29,20,15,20,15,28,27,13,11,0,6,0,2,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0050,8,FALSE,NONE,9.8e-05,0.001358,0.001784,0.0,5600,TRUE,7,20,15,20,15,28,27,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0050,9,TRUE,NONE,0.000119,0.001311,0.001374,0.0,5660,TRUE,69,20,15,20,15,28,27,13,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0050,10,FALSE,NONE,7.9e-05,0.001218,0.001704,0.0,5584,TRUE,4,20,15,20,15,28,27,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0050,11,FALSE,NONE,0.000101,0.001352,0.001518,0.00311,7744,FALSE,121,20,15,20,15,28,27,17,17,0,3,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0050,12,FALSE,NONE,0.000101,0.001372,0.001482,0.0,5164,TRUE,4,20,15,20,15,28,27,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
